noncodingRNA_fam	mean_total_interactions	std_total_interactions	median_total_interactions	min_total_interactions	max_total_interactions	q1_total_interactions	q3_total_interactions	iqr_total_interactions	variance_total_interactions	mean_perfect_matches	std_perfect_matches	median_perfect_matches	min_perfect_matches	max_perfect_matches	q1_perfect_matches	q3_perfect_matches	iqr_perfect_matches	variance_perfect_matches	mean_percentage	std_percentage	median_percentage	min_percentage	max_percentage	q1_percentage	q3_percentage	iqr_percentage	variance_percentage
0	10.0	1.4142135623730951	10.0	9	11	9.5	10.5	1.0	2.0	2.0	1.4142135623730951	2.0	1	3	1.5	2.5	1.0	2.0	19.19191919191919	11.427988382812888	19.19191919191919	11.11111111111111	27.27272727272727	15.15151515151515	23.232323232323232	8.080808080808081	130.59891847770632
let-7	34.0	38.18376618407357	34.0	7	61	20.5	47.5	27.0	1458.0	17.0	21.213203435596427	17.0	2	32	9.5	24.5	15.0	450.0	40.5152224824356	16.89107533513533	40.5152224824356	28.57142857142857	52.459016393442624	34.54332552693208	46.487119437939114	11.943793911007035	285.3084259772171
mir-10	25.5	6.363961030678928	25.5	21	30	23.25	27.75	4.5	40.5	7.5	0.7071067811865476	7.5	7	8	7.25	7.75	0.5	0.5	30.714285714285715	10.438242960372843	30.714285714285715	23.333333333333332	38.095238095238095	27.023809523809522	34.404761904761905	7.380952380952383	108.95691609977322
mir-101	12.0	7.0710678118654755	12.0	7	17	9.5	14.5	5.0	50.0	3.0	1.4142135623730951	3.0	2	4	2.5	3.5	1.0	2.0	26.050420168067227	3.5652442748901567	26.050420168067227	23.52941176470588	28.57142857142857	24.789915966386552	27.310924369747898	2.5210084033613462	12.710966739637039
mir-103	29.5	17.67766952966369	29.5	17	42	23.25	35.75	12.5	312.5	11.5	9.192388155425117	11.5	5	18	8.25	14.75	6.5	84.5	36.134453781512605	9.507318066373745	36.134453781512605	29.411764705882355	42.857142857142854	32.773109243697476	39.49579831932773	6.722689075630257	90.3890968151966
mir-1180	7.0		7.0	7	7	7.0	7.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		14.285714285714285		14.285714285714285	14.285714285714285	14.285714285714285	14.285714285714285	14.285714285714285	0.0	
mir-1182	1.0		1.0	1	1	1.0	1.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-1226	1.0		1.0	1	1	1.0	1.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		100.0		100.0	100.0	100.0	100.0	100.0	0.0	
mir-124	1.5	0.7071067811865476	1.5	1	2	1.25	1.75	0.5	0.5	0.5	0.7071067811865476	0.5	0	1	0.25	0.75	0.5	0.5	25.0	35.35533905932738	25.0	0.0	50.0	12.5	37.5	25.0	1250.0
mir-1246	3.0		3.0	3	3	3.0	3.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-126	2.0	1.4142135623730951	2.0	1	3	1.5	2.5	1.0	2.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir-1271	7.0		7.0	7	7	7.0	7.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		14.285714285714285		14.285714285714285	14.285714285714285	14.285714285714285	14.285714285714285	14.285714285714285	0.0	
mir-1272	1.0		1.0	1	1	1.0	1.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
