noncodingRNA_fam	mean_percentage
mir-26	69.64285714285714
mir-503	63.97058823529412
mir-15	56.79356399200758
mir-27	53.84615384615385
mir-19	51.754385964912274
mir-322	49.03225806451613
mir-17	46.90527256479
mir-185	46.66666666666666
mir-31	44.6078431372549
mir-196	41.91176470588236
mir-30	41.1864406779661
mir-193	40.833333333333336
let-7	40.5152224824356
mir-25	38.826366559485535
mir-34	37.5968992248062
mir-32	36.36363636363637
mir-181	36.25
mir-103	36.134453781512605
mir-10	30.714285714285715
mir-23	28.921568627450977
mir-324	28.431372549019606
mir-130	27.717391304347828
mir-423	27.38095238095238
mir-101	26.050420168067227
mir-221	24.85096870342772
mir-148	24.24242424242424
mir-191	23.07692307692308
mir-484	22.22222222222222
mir-218	21.428571428571427
mir-320	19.461697722567287
0	19.19191919191919
mir-339	15.0
mir-24	13.333333333333334
mir-378	13.025210084033612
