"Seq_ID","Cluster_ID"
"Seq_1",3
"Seq_2",430
"Seq_3",429
"Seq_4",428
"Seq_5",427
"Seq_6",426
"Seq_7",425
"Seq_8",424
"Seq_9",423
"Seq_10",2
"Seq_11",125
"Seq_12",422
"Seq_13",421
"Seq_14",420
"Seq_15",427
"Seq_16",419
"Seq_17",425
"Seq_18",418
"Seq_19",417
"Seq_20",416
"Seq_21",415
"Seq_22",414
"Seq_23",413
"Seq_24",412
"Seq_25",411
"Seq_26",410
"Seq_27",409
"Seq_28",408
"Seq_29",407
"Seq_30",406
"Seq_31",2
"Seq_32",405
"Seq_33",404
"Seq_34",281
"Seq_35",403
"Seq_36",402
"Seq_37",401
"Seq_38",400
"Seq_39",399
"Seq_40",398
"Seq_41",397
"Seq_42",396
"Seq_43",395
"Seq_44",394
"Seq_45",393
"Seq_46",392
"Seq_47",391
"Seq_48",390
"Seq_49",389
"Seq_50",2
"Seq_51",412
"Seq_52",388
"Seq_53",387
"Seq_54",386
"Seq_55",385
"Seq_56",384
"Seq_57",383
"Seq_58",382
"Seq_59",381
"Seq_60",380
"Seq_61",379
"Seq_62",378
"Seq_63",377
"Seq_64",376
"Seq_65",375
"Seq_66",374
"Seq_67",373
"Seq_68",372
"Seq_69",371
"Seq_70",370
"Seq_71",369
"Seq_72",368
"Seq_73",367
"Seq_74",366
"Seq_75",365
"Seq_76",362
"Seq_77",364
"Seq_78",363
"Seq_79",204
"Seq_80",362
"Seq_81",361
"Seq_82",360
"Seq_83",359
"Seq_84",358
"Seq_85",358
"Seq_86",357
"Seq_87",356
"Seq_88",355
"Seq_89",354
"Seq_90",353
"Seq_91",352
"Seq_92",351
"Seq_93",350
"Seq_94",349
"Seq_95",348
"Seq_96",347
"Seq_97",346
"Seq_98",345
"Seq_99",344
"Seq_100",352
"Seq_101",343
"Seq_102",345
"Seq_103",342
"Seq_104",341
"Seq_105",340
"Seq_106",339
"Seq_107",338
"Seq_108",337
"Seq_109",336
"Seq_110",335
"Seq_111",334
"Seq_112",333
"Seq_113",332
"Seq_114",331
"Seq_115",330
"Seq_116",329
"Seq_117",409
"Seq_118",328
"Seq_119",327
"Seq_120",326
"Seq_121",325
"Seq_122",324
"Seq_123",323
"Seq_124",322
"Seq_125",321
"Seq_126",320
"Seq_127",319
"Seq_128",318
"Seq_129",317
"Seq_130",316
"Seq_131",315
"Seq_132",314
"Seq_133",313
"Seq_134",312
"Seq_135",311
"Seq_136",310
"Seq_137",309
"Seq_138",308
"Seq_139",307
"Seq_140",306
"Seq_141",409
"Seq_142",305
"Seq_143",304
"Seq_144",303
"Seq_145",302
"Seq_146",301
"Seq_147",421
"Seq_148",300
"Seq_149",299
"Seq_150",298
"Seq_151",297
"Seq_152",322
"Seq_153",296
"Seq_154",295
"Seq_155",294
"Seq_156",293
"Seq_157",425
"Seq_158",292
"Seq_159",291
"Seq_160",290
"Seq_161",289
"Seq_162",288
"Seq_163",287
"Seq_164",285
"Seq_165",284
"Seq_166",283
"Seq_167",282
"Seq_168",6
"Seq_169",281
"Seq_170",280
"Seq_171",45
"Seq_172",279
"Seq_173",278
"Seq_174",277
"Seq_175",276
"Seq_176",275
"Seq_177",274
"Seq_178",273
"Seq_179",272
"Seq_180",271
"Seq_181",270
"Seq_182",269
"Seq_183",268
"Seq_184",267
"Seq_185",266
"Seq_186",265
"Seq_187",264
"Seq_188",263
"Seq_189",262
"Seq_190",261
"Seq_191",361
"Seq_192",260
"Seq_193",259
"Seq_194",258
"Seq_195",257
"Seq_196",256
"Seq_197",255
"Seq_198",177
"Seq_199",254
"Seq_200",253
"Seq_201",252
"Seq_202",251
"Seq_203",250
"Seq_204",249
"Seq_205",248
"Seq_206",247
"Seq_207",246
"Seq_208",245
"Seq_209",244
"Seq_210",243
"Seq_211",242
"Seq_212",241
"Seq_213",240
"Seq_214",239
"Seq_215",238
"Seq_216",237
"Seq_217",236
"Seq_218",235
"Seq_219",234
"Seq_220",233
"Seq_221",232
"Seq_222",231
"Seq_223",230
"Seq_224",229
"Seq_225",228
"Seq_226",227
"Seq_227",226
"Seq_228",225
"Seq_229",224
"Seq_230",293
"Seq_231",223
"Seq_232",222
"Seq_233",221
"Seq_234",44
"Seq_235",220
"Seq_236",219
"Seq_237",218
"Seq_238",217
"Seq_239",216
"Seq_240",215
"Seq_241",214
"Seq_242",213
"Seq_243",1
"Seq_244",212
"Seq_245",211
"Seq_246",210
"Seq_247",311
"Seq_248",209
"Seq_249",229
"Seq_250",208
"Seq_251",207
"Seq_252",206
"Seq_253",1
"Seq_254",205
"Seq_255",204
"Seq_256",203
"Seq_257",202
"Seq_258",201
"Seq_259",200
"Seq_260",199
"Seq_261",198
"Seq_262",197
"Seq_263",196
"Seq_264",195
"Seq_265",194
"Seq_266",319
"Seq_267",193
"Seq_268",192
"Seq_269",191
"Seq_270",190
"Seq_271",189
"Seq_272",188
"Seq_273",187
"Seq_274",186
"Seq_275",185
"Seq_276",199
"Seq_277",184
"Seq_278",183
"Seq_279",53
"Seq_280",182
"Seq_281",181
"Seq_282",180
"Seq_283",179
"Seq_284",2
"Seq_285",178
"Seq_286",177
"Seq_287",176
"Seq_288",175
"Seq_289",174
"Seq_290",173
"Seq_291",172
"Seq_292",171
"Seq_293",170
"Seq_294",169
"Seq_295",168
"Seq_296",167
"Seq_297",166
"Seq_298",359
"Seq_299",165
"Seq_300",164
"Seq_301",163
"Seq_302",162
"Seq_303",161
"Seq_304",160
"Seq_305",276
"Seq_306",159
"Seq_307",158
"Seq_308",157
"Seq_309",156
"Seq_310",155
"Seq_311",154
"Seq_312",410
"Seq_313",153
"Seq_314",152
"Seq_315",151
"Seq_316",150
"Seq_317",149
"Seq_318",148
"Seq_319",147
"Seq_320",146
"Seq_321",145
"Seq_322",144
"Seq_323",143
"Seq_324",142
"Seq_325",141
"Seq_326",140
"Seq_327",139
"Seq_328",138
"Seq_329",137
"Seq_330",125
"Seq_331",136
"Seq_332",135
"Seq_333",134
"Seq_334",201
"Seq_335",133
"Seq_336",132
"Seq_337",131
"Seq_338",130
"Seq_339",3
"Seq_340",133
"Seq_341",129
"Seq_342",128
"Seq_343",127
"Seq_344",126
"Seq_345",125
"Seq_346",124
"Seq_347",123
"Seq_348",408
"Seq_349",211
"Seq_350",3
"Seq_351",122
"Seq_352",121
"Seq_353",120
"Seq_354",119
"Seq_355",118
"Seq_356",117
"Seq_357",322
"Seq_358",116
"Seq_359",115
"Seq_360",114
"Seq_361",113
"Seq_362",112
"Seq_363",111
"Seq_364",110
"Seq_365",339
"Seq_366",109
"Seq_367",108
"Seq_368",107
"Seq_369",106
"Seq_370",2
"Seq_371",105
"Seq_372",104
"Seq_373",103
"Seq_374",102
"Seq_375",101
"Seq_376",100
"Seq_377",99
"Seq_378",98
"Seq_379",97
"Seq_380",96
"Seq_381",95
"Seq_382",94
"Seq_383",93
"Seq_384",92
"Seq_385",91
"Seq_386",90
"Seq_387",89
"Seq_388",88
"Seq_389",87
"Seq_390",86
"Seq_391",85
"Seq_392",84
"Seq_393",83
"Seq_394",82
"Seq_395",81
"Seq_396",80
"Seq_397",79
"Seq_398",78
"Seq_399",77
"Seq_400",76
"Seq_401",311
"Seq_402",75
"Seq_403",74
"Seq_404",73
"Seq_405",72
"Seq_406",71
"Seq_407",70
"Seq_408",69
"Seq_409",68
"Seq_410",67
"Seq_411",66
"Seq_412",65
"Seq_413",64
"Seq_414",63
"Seq_415",62
"Seq_416",286
"Seq_417",61
"Seq_418",60
"Seq_419",59
"Seq_420",58
"Seq_421",57
"Seq_422",56
"Seq_423",55
"Seq_424",54
"Seq_425",53
"Seq_426",52
"Seq_427",51
"Seq_428",50
"Seq_429",49
"Seq_430",48
"Seq_431",47
"Seq_432",377
"Seq_433",45
"Seq_434",280
"Seq_435",46
"Seq_436",45
"Seq_437",44
"Seq_438",43
"Seq_439",42
"Seq_440",41
"Seq_441",40
"Seq_442",39
"Seq_443",38
"Seq_444",37
"Seq_445",36
"Seq_446",35
"Seq_447",34
"Seq_448",33
"Seq_449",32
"Seq_450",31
"Seq_451",30
"Seq_452",29
"Seq_453",28
"Seq_454",27
"Seq_455",26
"Seq_456",25
"Seq_457",24
"Seq_458",23
"Seq_459",22
"Seq_460",21
"Seq_461",20
"Seq_462",19
"Seq_463",18
"Seq_464",17
"Seq_465",16
"Seq_466",15
"Seq_467",14
"Seq_468",13
"Seq_469",12
"Seq_470",11
"Seq_471",10
"Seq_472",9
"Seq_473",8
"Seq_474",7
"Seq_475",6
