"Gene_ID","Cluster_ID"
"1",120
"2",430
"3",429
"4",428
"5",427
"6",426
"7",425
"8",424
"9",423
"10",422
"11",123
"12",421
"13",420
"14",419
"15",427
"16",418
"17",425
"18",417
"19",416
"20",415
"21",414
"22",413
"23",412
"24",411
"25",410
"26",409
"27",408
"28",407
"29",406
"30",405
"31",422
"32",404
"33",403
"34",280
"35",402
"36",401
"37",400
"38",399
"39",398
"40",397
"41",396
"42",395
"43",394
"44",393
"45",392
"46",391
"47",390
"48",389
"49",388
"50",411
"51",387
"52",386
"53",385
"54",384
"55",383
"56",382
"57",381
"58",380
"59",379
"60",378
"61",377
"62",376
"63",375
"64",374
"65",373
"66",372
"67",371
"68",370
"69",369
"70",368
"71",367
"72",366
"73",365
"74",364
"75",361
"76",363
"77",362
"78",202
"79",361
"80",360
"81",359
"82",358
"83",357
"84",357
"85",356
"86",355
"87",354
"88",353
"89",352
"90",351
"91",350
"92",349
"93",348
"94",347
"95",346
"96",345
"97",344
"98",343
"99",351
"100",342
"101",344
"102",341
"103",340
"104",339
"105",338
"106",337
"107",336
"108",335
"109",334
"110",333
"111",332
"112",331
"113",330
"114",329
"115",328
"116",408
"117",327
"118",326
"119",325
"120",324
"121",323
"122",322
"123",321
"124",320
"125",319
"126",318
"127",317
"128",316
"129",315
"130",314
"131",313
"132",312
"133",311
"134",310
"135",309
"136",308
"137",307
"138",306
"139",305
"140",408
"141",304
"142",303
"143",302
"144",301
"145",300
"146",420
"147",299
"148",298
"149",297
"150",296
"151",321
"152",295
"153",294
"154",293
"155",292
"156",425
"157",291
"158",290
"159",289
"160",288
"161",287
"162",286
"163",284
"164",283
"165",282
"166",281
"167",3
"168",280
"169",279
"170",42
"171",278
"172",277
"173",276
"174",275
"175",274
"176",273
"177",272
"178",271
"179",270
"180",269
"181",268
"182",267
"183",266
"184",265
"185",264
"186",263
"187",262
"188",261
"189",260
"190",360
"191",259
"192",258
"193",257
"194",256
"195",255
"196",254
"197",175
"198",253
"199",252
"200",251
"201",250
"202",249
"203",248
"204",247
"205",246
"206",245
"207",244
"208",243
"209",242
"210",241
"211",240
"212",239
"213",238
"214",237
"215",236
"216",235
"217",234
"218",233
"219",232
"220",231
"221",230
"222",229
"223",228
"224",227
"225",226
"226",225
"227",224
"228",223
"229",292
"230",222
"231",221
"232",220
"233",41
"234",219
"235",218
"236",217
"237",216
"238",215
"239",214
"240",213
"241",212
"242",211
"243",210
"244",209
"245",208
"246",310
"247",207
"248",228
"249",206
"250",205
"251",204
"252",203
"253",202
"254",201
"255",200
"256",199
"257",198
"258",197
"259",196
"260",195
"261",194
"262",193
"263",192
"264",318
"265",191
"266",190
"267",189
"268",188
"269",187
"270",186
"271",185
"272",184
"273",183
"274",197
"275",182
"276",181
"277",50
"278",180
"279",179
"280",178
"281",177
"282",422
"283",176
"284",175
"285",174
"286",173
"287",172
"288",171
"289",170
"290",169
"291",168
"292",167
"293",166
"294",165
"295",164
"296",358
"297",163
"298",162
"299",161
"300",160
"301",159
"302",158
"303",275
"304",157
"305",156
"306",155
"307",154
"308",153
"309",152
"310",409
"311",151
"312",150
"313",149
"314",148
"315",147
"316",146
"317",145
"318",144
"319",143
"320",142
"321",141
"322",140
"323",139
"324",138
"325",137
"326",136
"327",135
"328",123
"329",134
"330",133
"331",132
"332",199
"333",131
"334",130
"335",129
"336",128
"337",131
"338",127
"339",126
"340",125
"341",124
"342",123
"343",122
"344",121
"345",407
"346",209
"347",120
"348",119
"349",118
"350",117
"351",116
"352",115
"353",114
"354",321
"355",113
"356",112
"357",111
"358",110
"359",109
"360",108
"361",107
"362",338
"363",106
"364",105
"365",104
"366",103
"367",422
"368",102
"369",101
"370",100
"371",99
"372",98
"373",97
"374",96
"375",95
"376",94
"377",93
"378",92
"379",91
"380",90
"381",89
"382",88
"383",87
"384",86
"385",85
"386",84
"387",83
"388",82
"389",81
"390",80
"391",79
"392",78
"393",77
"394",76
"395",75
"396",74
"397",73
"398",310
"399",72
"400",71
"401",70
"402",69
"403",68
"404",67
"405",66
"406",65
"407",64
"408",63
"409",62
"410",61
"411",60
"412",59
"413",285
"414",58
"415",57
"416",56
"417",55
"418",54
"419",53
"420",52
"421",51
"422",50
"423",49
"424",48
"425",47
"426",46
"427",45
"428",44
"429",376
"430",42
"431",279
"432",43
"433",42
"434",41
"435",40
"436",39
"437",38
"438",37
"439",36
"440",35
"441",34
"442",33
"443",32
"444",31
"445",30
"446",29
"447",28
"448",27
"449",26
"450",25
"451",24
"452",23
"453",22
"454",21
"455",20
"456",19
"457",18
"458",17
"459",16
"460",15
"461",14
"462",13
"463",12
"464",11
"465",10
"466",9
"467",8
"468",7
"469",6
"470",5
"471",4
"472",3
"473",2
"474",1
