miRNA Family	Occurrences
let-7	501
mir-25	497
mir-17	401
mir-320	365
mir-423	295
mir-10	286
mir-484	280
mir-744	278
mir-15	213
mir-615	199
mir-324	147
mir-4776	145
mir-331	127
mir-221	119
mir-30	102
mir-296	102
mir-193	100
mir-103	92
mir-196	76
mir-671	70
mir-1246	66
mir-877	53
mir-28	52
mir-29	45
mir-339	45
mir-1226	44
mir-19	44
mir-1277	43
mir-769	40
mir-548	39
mir-940	38
mir-760	37
mir-181	36
mir-26	36
mir-149	33
mir-1301	29
mir-148	29
mir-95	29
miR-8485	29
mir-7	28
mir-31	28
mir-1296	28
mir-1307	28
mir-130	28
mir-185	27
mir-328	27
miR-4443	26
mir-197	26
mir-23	24
mir-186	24
mir-1303	23
mir-361	23
mir-1180	22
mir-342	21
mir-1285	20
mir-27	20
mir-378	19
mir-515	18
mir-574	17
mir-33	16
mir-500	16
mir-374	16
mir-34	15
mir-188	15
miR-5585-3p	15
mir-128	14
mir-506	14
mir-218	13
mir-365	13
mir-652	13
mir-505	13
mir-619	13
mir-455	12
mir-346	12
mir-154	12
mir-330	11
mir-322	11
miR-4521	10
mir-935	10
mir-126	10
miR-1273h-5p	10
miR-5684	10
mir-1915	10
mir-1306	10
miR-10527-5p	9
mir-191	9
mir-101	9
mir-326	9
miR-7111-3p	9
mir-766	9
mir-1244	8
mir-425	8
mir-503	8
mir-6511	8
mir-454	8
miR-6807-5p	8
mir-708	8
mir-1290	8
mir-3145	8
mir-941	7
mir-1227	7
miR-3187-3p	7
mir-338	7
mir-1249	7
mir-1914	7
mir-1343	7
mir-1972	7
miR-7705	6
mir-96	6
mir-183	6
mir-1236	6
mir-491	6
mir-1252	6
mir-4662	6
mir-576	6
mir-9	5
miR-10393-5p	5
mir-32	5
miR-6076	5
miR-3944-3p	5
mir-210	5
mir-483	5
mir-140	5
miR-6728-3p	5
miR-4483	5
mir-1287	5
miR-6807-3p	5
mir-8	5
mir-486	5
mir-4680	5
mir-302	5
miR-3915	5
miR-3176	5
mir-146	5
miR-6873-3p	5
miR-4721	4
mir-24	4
miR-6834-5p	4
mir-1292	4
mir-625	4
miR-3619-5p	4
miR-4455	4
mir-182	4
mir-551	4
mir-874	4
mir-21	4
miR-4497	4
miR-4668-5p	4
mir-1908	4
miR-9901	4
miR-4664-5p	4
mir-1909	4
mir-4449	4
miR-1229-3p	4
cli-miR-137a-5p	4
mir-203	4
mir-1260b	4
mir-1260a	4
mir-544	4
mir-143	4
miR-5193	4
miR-3658	3
mir-204	3
miR-6501-5p	3
mir-4657	3
mir-636	3
mir-190	3
mir-362	3
mir-450	3
mir-4421	3
mir-4660	3
mir-657	3
mir-3648	3
miR-4450	3
mir-124	3
miR-6801-5p	3
miR-5581-5p	3
mir-584	3
miR-6842-3p	3
miR-7706	3
mir-194	3
miR-3916	3
mir-651	3
mir-129	3
mir-4429	3
mir-6827	3
mir-3149	3
miR-8077	3
mir-1255	3
mir-368	3
miR-10526-3p	3
mir-4738	3
mir-743	3
miR-6751-3p	3
mir-224	3
mir-580	3
mir-1250	3
mir-145	3
miR-3194-5p	3
mir-1199	3
mir-345	3
miR-7158-5p	3
miR-3059-5p	3
miR-4759	3
mir-590	3
mir-3927	3
mir-1910	3
miR-4707-3p	3
miR-4658	2
miR-10393-3p	2
mir-1247	2
miR-3157-5p	2
mir-3180	2
mir-3188	2
mir-198	2
miR-7111-5p	2
mir-628	2
miR-6877-3p	2
miR-6797-3p	2
miR-10399-3p	2
mir-1253	2
miR-5683	2
miR-6513-3p	2
miR-6802-3p	2
miR-6721-5p	2
mir-3065	2
miR-7112-5p	2
miR-3917	2
miR-6849-3p	2
miR-8059	2
miR-3620-3p	2
mir-340	2
mir-138	2
miR-6742-3p	2
miR-4777-3p	2
mir-490	2
mir-497	2
miR-6776-3p	2
miR-378c	2
miR-3614-3p	2
miR-4494	2
mir-1262	2
miR-2054	2
miR-4781-3p	2
miR-4720-5p	2
miR-7161-3p	2
miR-3125	2
miR-4688	2
miR-7112-3p	2
miR-6765-3p	2
miR-4745-5p	2
miR-6738-3p	2
miR-5009-5p	2
miR-3925-5p	2
mir-1179	2
mir-290	2
mir-4716	2
mir-3179	2
miR-6826-5p	2
miR-2115-3p	2
miR-5700	2
mir-1	2
mir-3938	2
mir-3670	2
miR-6758-3p	2
miR-5003-3p	2
mir-589	2
miR-4768-3p	2
miR-8061	2
mir-3617	2
miR-4751	2
miR-6773-5p	2
mir-663	2
mir-449	2
miR-5698	2
mir-1233	2
mir-556	2
mir-3688	2
miR-8076	2
mir-876	2
mir-219	2
mir-591	2
miR-5088-3p	2
miR-6845-3p	2
miR-3195	2
miR-4634	2
miR-6833-3p	2
mir-3064	2
miR-3131	2
miR-2276-5p	2
miR-7107-3p	2
miR-147b-5p	2
mir-6770	2
miR-4732-3p	2
miR-4749-5p	2
miR-7162-5p	2
miR-6874-5p	2
miR-6499-5p	2
mir-6131	2
miR-5087	2
miR-6747-5p	2
mir-605	2
miR-4735-5p	2
mir-202	2
mir-5697	2
miR-6883-3p	2
mir-549	2
mir-1225	2
mir-1322	2
mir-139	2
mir-223	2
miR-4503	2
mir-1299	2
mir-2110	2
mir-1304	2
miR-5010-3p	2
mir-631	2
miR-6895-5p	2
miR-6876-5p	2
miR-4732-5p	2
miR-4665-3p	2
mir-622	2
miR-3177-3p	2
mir-1271	2
mir-629	2
miR-1321	2
miR-4473	2
mir-4798	2
mir-4510	2
miR-3609	1
miR-6758-5p	1
miR-4786-5p	1
miR-6767-5p	1
miR-7113-5p	1
miR-10394-3p	1
miR-2277-3p	1
miR-6884-5p	1
mir-621	1
mir-1538	1
miR-4747-3p	1
mir-887	1
miR-4640-3p	1
miR-6735-5p	1
miR-3157-3p	1
mir-1912	1
miR-6816-3p	1
mir-639	1
miR-4685-3p	1
mir-614	1
miR-4723-5p	1
miR-5006-5p	1
mir-3680	1
miR-6514-3p	1
miR-4467	1
miR-6716-3p	1
mir-3167	1
mir-375	1
miR-4764-5p	1
miR-10396b-5p	1
miR-6889-3p	1
mir-4529	1
miR-5006-3p	1
mir-504	1
mir-1203	1
mir-1202	1
mir-1289	1
mir-759	1
miR-4720-3p	1
miR-5704	1
mir-922	1
miR-4538	1
mir-1238	1
miR-6860	1
miR-2116-5p	1
miR-3159	1
miR-7153-5p	1
miR-4697-3p	1
mir-632	1
miR-2681-5p	1
miR-3668	1
miR-11181-3p	1
mir-593	1
