miRNA Family	Occurrences
miR-6873-3p	321
mir-17	170
miR-8485	69
miR-6734-3p	67
mir-25	52
miR-6728-3p	34
mir-196	31
mir-221	27
mir-19	27
mir-7	26
mir-15	24
miR-4644	23
mir-320	13
let-7	12
mir-30	11
miR-6830-3p	10
mir-218	9
mir-103	9
mir-181	8
mir-423	8
mir-26	7
mir-589	6
mir-378	5
mir-671	5
mir-484	5
mir-10	4
miR-3115	4
mir-28	4
miR-6751-3p	4
mir-1246	4
miR-6761-3p	4
mir-191	4
miR-4326	4
mir-574	4
mir-365	3
mir-210	3
mir-503	3
mir-1180	3
miR-6767-3p	3
mir-324	3
mir-1238	3
miR-6738-5p	3
mir-374	3
mir-506	3
miR-6510-5p	3
mir-625	3
mir-29	3
mir-32	3
miR-6881-5p	2
mir-935	2
mir-185	2
mir-193	2
mir-4435	2
mir-330	2
miR-6769a-3p	2
miR-7706	2
mir-130	2
mir-186	2
mir-612	2
mir-1224	2
mir-581	2
miR-3194-3p	2
miR-7974	2
mir-454	2
mir-148	2
miR-6875-5p	2
mir-744	2
miR-6833-3p	2
mir-23	2
mir-1301	2
mir-297	2
mir-4449	2
mir-1909	2
miR-4757-3p	1
mir-183	1
miR-3169	1
mir-322	1
mir-132	1
mir-154	1
mir-140	1
mir-515	1
mir-3670	1
mir-765	1
miR-4673	1
miR-7113-5p	1
miR-4639-5p	1
miR-7158-5p	1
mir-874	1
miR-1269b	1
miR-5586-3p	1
miR-4732-3p	1
miR-4268	1
miR-3614-3p	1
mir-3934	1
mir-4667	1
mir-483	1
miR-6809-3p	1
miR-6741-3p	1
mir-379	1
miR-5189-3p	1
mir-203	1
miR-6886-3p	1
miR-3148	1
mir-4679	1
miR-6720-5p	1
miR-6874-3p	1
mir-1307	1
miR-7110-3p	1
miR-3187-3p	1
mir-362	1
mir-760	1
mir-619	1
mir-505	1
miR-8052	1
mir-449	1
mir-3132	1
miR-10394-3p	1
miR-6740-5p	1
mir-549	1
mir-548	1
miR-6878-3p	1
mir-1296	1
miR-9983-3p	1
miR-6816-3p	1
mir-708	1
miR-7705	1
mir-425	1
mir-1273c	1
miR-3177-5p	1
miR-3976	1
miR-6832-5p	1
miR-4693-3p	1
miR-620	1
miR-6076	1
mir-3198	1
mir-1255	1
miR-4455	1
miR-6747-5p	1
mir-188	1
miR-6506-3p	1
mir-339	1
miR-10400-3p	1
mir-3136	1
mir-1285	1
miR-6829-5p	1
miR-4778-3p	1
mir-593	1
miR-4476	1
miR-8054	1
miR-6884-5p	1
mir-296	1
miR-4439	1
miR-520e-5p	1
mir-4423	1
miR-10396a-3p	1
miR-6839-3p	1
mir-3149	1
mir-567	1
miR-6811-3p	1
miR-2682-5p	1
miR-4658	1
mir-101	1
miR-7851-3p	1
mir-224	1
mir-128	1
mir-615	1
mir-126	1
miR-6774-3p	1
mir-6505	1
mir-149	1
miR-4649-3p	1
mir-4677	1
miR-5585-3p	1
mir-3689	1
miR-4502	1
miR-5691	1
miR-7160-5p	1
mir-34	1
mir-609	1
miR-6833-5p	1
miR-6867-5p	1
mir-340	1
mir-4774	1
mir-1303	1
mir-96	1
mir-450	1
