miRNA Family	Occurrences
mir-17	400439
mir-19	153888
mir-25	113770
mir-15	112358
mir-221	50867
mir-30	46950
let-7	34849
mir-26	30387
mir-196	26291
mir-103	22564
mir-320	21243
mir-423	19737
mir-181	16277
mir-218	16227
mir-374	14230
mir-10	14179
mir-322	13021
mir-34	12618
mir-378	12539
mir-148	12141
mir-130	11795
mir-29	11751
mir-27	11054
mir-193	9596
mir-484	9569
mir-31	9269
mir-23	9143
mir-324	8706
mir-28	8491
mir-32	8228
mir-339	7910
mir-191	7553
mir-101	7385
mir-24	6333
mir-33	6050
mir-1307	5496
mir-503	5381
mir-744	5272
mir-128	5266
mir-425	5129
mir-185	4713
mir-186	4487
mir-454	4443
mir-9	3964
mir-455	3946
mir-1296	3428
mir-210	3390
mir-340	3250
mir-365	3237
mir-140	3146
mir-500	3047
mir-1271	2862
mir-188	2746
mir-361	2667
mir-182	2625
mir-331	2611
mir-96	2469
mir-652	2464
mir-21	2436
mir-22	2407
mir-7	2317
mir-615	2019
mir-1180	2007
mir-708	1931
mir-95	1826
mir-183	1774
mir-296	1695
mir-671	1678
mir-362	1675
mir-126	1568
mir-1301	1556
mir-590	1501
mir-194	1348
mir-345	1278
mir-505	1253
mir-1277	1234
mir-342	1233
mir-769	1197
mir-149	1190
mir-450	1150
mir-548	1106
mir-132	1040
mir-629	940
mir-542	913
mir-625	889
mir-497	887
miR-8485	813
miR-378c	789
mir-192	781
mir-935	716
mir-582	693
mir-550	657
mir-491	643
mir-874	634
miR-1269b	587
mir-551	532
mir-124	519
mir-330	516
mir-486	478
mir-2110	438
mir-1246	430
mir-940	423
mir-187	383
mir-190	367
mir-219	353
mir-8	345
mir-3615	344
mir-1303	326
mir-346	321
mir-138	317
mir-1226	298
mir-449	292
mir-3200	288
mir-328	277
mir-760	265
mir-1285	264
mir-624	257
mir-941	231
mir-628	230
mir-375	223
mir-574	220
mir-598	209
miR-6720-5p	183
mir-129	174
mir-597	173
mir-576	170
miR-3611	159
miR-9985	154
miR-3187-3p	150
miR-3176	142
mir-942	142
mir-326	140
miR-378f	126
mir-153	125
mir-589	122
miR-3157-5p	117
mir-556	114
mir-1306	113
mir-641	109
miR-7706	109
miR-2277-3p	105
mir-3158	104
mir-627	100
miR-5001-3p	96
mir-1292	94
mir-877	93
miR-1273h-5p	91
mir-1343	89
miR-3177-3p	85
mir-561	83
miR-4664-5p	80
mir-199	79
miR-4467	78
miR-3657	77
mir-618	71
ocu-miR-103a-5p	71
miR-3195	70
mir-1304	69
miR-5010-3p	69
miR-2277-5p	67
miR-4497	67
mir-577	66
miR-4473	66
mir-338	65
miR-3909	62
mir-139	60
mir-4677	60
mir-2278	59
mir-1910	58
miR-6747-3p	54
mir-605	53
miR-4713-5p	53
mir-3130	52
mir-1295	52
mir-142	50
mir-3074	48
mir-506	46
miR-5699-3p	46
miR-5585-3p	44
miR-3928-3p	44
mir-1299	43
mir-636	42
mir-4429	41
mir-1305	41
mir-619	40
miR-7851-3p	40
mir-1297	40
miR-9901	40
mir-3127	39
miR-3679-5p	39
mir-3173	39
mir-3064	38
miR-3619-5p	37
miR-3944-3p	37
mir-147	35
mir-1915	35
miR-4306	35
mir-1909	34
mir-2355	33
mir-3940	33
mir-3065	32
miR-6799-3p	32
mir-766	32
miR-10527-5p	31
miR-4786-3p	31
mir-4421	30
miR-4474-3p	30
mir-663	29
miR-4326	29
mir-4523	28
mir-6511	28
mir-1262	28
miR-5699-5p	28
mir-1914	27
miR-4785	27
miR-3609	26
mir-216	26
mir-1537	25
miR-3194-5p	25
miR-6515-3p	25
miR-3144-3p	24
mir-135	24
miR-6820-5p	24
mir-5583	23
mir-4423	23
miR-4778-3p	23
mir-1276	23
mir-1287	23
mir-933	23
miR-5582-3p	22
mir-515	22
miR-5682	22
mir-204	22
mir-1250	21
mir-1972	21
miR-3691-5p	21
mir-4742	21
mir-1247	20
miR-4440	20
miR-3085-3p	20
miR-4689	20
mir-3126	20
miR-3911	20
mir-105	20
