miRNA Family	Manakov2022	Hejret2023	Klimentova2022
mir-17	400436	401	170
mir-19	153886	44	27
mir-25	113770	497	52
mir-15	112358	213	24
mir-221	50865	119	27
mir-30	46950	102	11
let-7	34849	501	12
mir-26	30387	36	7
mir-196	26291	76	31
mir-103	22564	92	9
mir-320	21243	365	13
mir-423	19737	295	8
mir-181	16277	36	8
mir-218	16227	13	9
mir-10	14179	286	4
mir-374	14230	16	3
mir-322	13020	11	1
mir-34	12618	15	1
mir-378	12539	19	5
mir-148	12141	29	2
mir-130	11795	28	2
mir-29	11751	45	3
mir-27	11054	20	0
mir-484	9569	280	5
mir-193	9595	100	2
mir-31	9269	28	0
mir-23	9143	24	2
mir-324	8706	147	3
mir-28	8491	52	4
mir-32	8228	5	3
mir-339	7910	45	1
mir-191	7553	9	4
mir-101	7385	9	1
mir-24	6333	4	0
mir-33	6050	16	0
mir-744	5272	278	2
mir-1307	5496	28	1
mir-503	5381	8	3
mir-128	5266	14	1
mir-425	5129	8	1
mir-185	4713	27	2
mir-186	4487	24	2
mir-454	4443	8	2
mir-9	3964	5	0
mir-455	3946	12	0
mir-1296	3428	28	1
mir-210	3390	5	3
mir-340	3250	2	1
mir-365	3237	13	3
mir-140	3146	5	1
mir-500	3047	16	0
mir-1271	2862	2	0
mir-188	2746	15	1
mir-331	2611	127	0
mir-361	2667	23	0
mir-182	2625	4	0
mir-652	2464	13	0
mir-96	2469	6	1
mir-21	2436	4	0
mir-22	2407	0	0
mir-7	2317	28	26
mir-615	2019	199	1
mir-1180	2007	22	3
mir-708	1931	8	1
mir-95	1826	29	0
mir-296	1695	102	1
mir-183	1774	6	1
mir-671	1678	70	5
mir-362	1675	3	1
mir-1301	1556	29	2
mir-126	1568	10	1
mir-590	1501	3	0
mir-194	1348	3	0
mir-345	1278	3	0
mir-1277	1234	43	0
mir-505	1253	13	1
mir-342	1233	21	0
mir-769	1197	40	0
mir-149	1190	33	1
mir-450	1150	3	1
mir-548	1106	39	1
mir-132	1040	0	1
mir-629	940	2	0
mir-542	913	1	0
miR-8485	813	29	69
mir-625	889	4	3
mir-497	887	2	0
miR-378c	789	2	0
mir-192	781	0	0
mir-935	716	10	2
mir-582	693	1	0
mir-550	657	1	0
mir-491	643	6	0
mir-874	634	4	1
miR-1269b	587	0	1
mir-551	532	4	0
mir-330	516	11	2
mir-124	519	3	0
mir-1246	427	66	4
mir-486	478	5	0
mir-940	423	38	0
mir-2110	438	2	0
mir-187	383	0	0
mir-190	367	3	0
mir-219	353	2	0
mir-1303	326	23	1
mir-8	345	5	0
mir-3615	344	1	0
mir-1226	298	44	0
mir-346	321	12	0
miR-6873-3p	1	5	321
mir-138	317	2	0
mir-328	277	27	0
mir-760	265	37	1
mir-449	292	2	1
mir-3200	288	1	0
mir-1285	264	20	1
mir-624	257	0	0
mir-574	220	17	4
mir-941	231	7	0
mir-628	230	2	0
mir-375	223	1	0
mir-598	209	0	0
miR-6720-5p	183	0	1
mir-129	174	3	0
mir-576	170	6	0
mir-597	173	1	0
miR-3611	159	1	0
miR-3187-3p	150	7	1
miR-9985	154	0	0
mir-326	140	9	0
mir-4776	2	145	0
miR-3176	142	5	0
mir-877	93	53	0
mir-942	142	1	0
mir-589	122	2	6
miR-378f	126	1	0
mir-153	125	0	0
mir-1306	113	10	0
miR-3157-5p	117	2	0
mir-556	114	2	0
miR-7706	109	3	2
mir-641	109	0	0
miR-2277-3p	105	1	0
mir-3158	104	0	0
miR-1273h-5p	91	10	0
mir-627	100	1	0
mir-1292	94	4	0
miR-5001-3p	96	0	0
mir-1343	89	7	0
miR-3177-3p	85	2	0
miR-4664-5p	80	4	0
mir-561	83	0	0
