noncodingRNA_fam	Manakov22	Hejret23	Klimentova22
mir-17	400436	297	136
mir-19	153886	33	21
mir-25	113770	334	41
mir-15	112358	158	20
mir-221	50865	94	24
mir-30	46950	74	10
let-7	34849	407	9
mir-26	30387	29	6
mir-196	26291	60	18
mir-103	22564	69	7
mir-320	21243	291	11
mir-423	19737	237	8
mir-181	16277	25	5
mir-218	16227	11	9
mir-10	14179	214	3
mir-374	14230	12	2
mir-322	13020	5	1
mir-34	12618	10	1
mir-378	12539	16	4
mir-148	12141	23	2
mir-130	11795	18	2
mir-29	11751	31	2
mir-27	11054	16	0
mir-484	9569	227	2
mir-193	9595	81	2
mir-31	9269	24	0
mir-23	9143	17	1
mir-324	8706	122	3
mir-28	8491	49	3
mir-32	8228	3	2
unknown	7789	184	52
mir-339	7910	26	0
mir-191	7553	6	4
mir-101	7385	7	1
mir-24	6333	3	0
mir-33	6050	9	0
mir-1307	5496	19	1
mir-744	5272	240	2
mir-503	5381	6	2
mir-128	5266	11	1
mir-425	5129	6	1
mir-185	4713	22	2
mir-186	4487	12	1
mir-454	4443	7	2
mir-9	3964	4	0
mir-455	3946	11	0
mir-1296	3428	19	1
mir-210	3390	3	2
mir-340	3250	1	1
mir-365	3237	10	0
mir-140	3146	3	1
mir-500	3047	12	0
mir-1271	2862	2	0
mir-188	2746	10	1
mir-331	2611	99	0
mir-361	2667	15	0
mir-182	2625	3	0
mir-96	2469	5	1
mir-652	2464	10	0
mir-21	2436	1	0
mir-22	2407	0	0
mir-7	2317	18	18
mir-615	2019	152	1
mir-1180	2007	20	2
mir-708	1931	5	1
mir-95	1826	10	0
mir-183	1774	3	1
mir-296	1695	78	0
mir-671	1678	20	3
mir-362	1675	2	1
mir-1301	1556	24	2
mir-126	1568	6	0
mir-590	1501	1	0
mir-194	1348	1	0
mir-345	1278	2	0
mir-505	1253	10	1
mir-1277	1234	18	0
mir-342	1233	17	0
mir-769	1197	34	0
mir-149	1190	24	1
mir-450	1150	1	0
mir-548	1106	14	0
mir-132	1040	0	1
mir-629	940	1	0
mir-542	913	0	0
mir-625	889	3	1
mir-497	887	0	0
mir-192	781	0	0
mir-935	716	3	2
mir-582	693	1	0
mir-550	657	0	0
mir-491	643	3	0
mir-874	634	1	1
mir-551	532	2	0
mir-330	516	8	0
mir-124	519	2	0
mir-1246	427	58	2
mir-486	478	2	0
mir-2110	438	2	0
mir-940	423	13	0
mir-187	383	0	0
mir-190	367	1	0
mir-219	353	1	0
mir-8	345	0	0
mir-3615	344	1	0
mir-1303	326	8	0
mir-1226	298	32	0
mir-346	321	8	0
mir-138	317	2	0
mir-760	265	35	1
mir-328	277	20	0
mir-449	292	0	1
mir-3200	288	0	0
mir-1285	264	5	0
mir-624	257	0	0
mir-941	231	6	0
mir-628	230	1	0
mir-574	220	6	1
mir-375	223	1	0
mir-598	209	0	0
mir-129	174	0	0
mir-597	173	0	0
mir-576	170	1	0
mir-326	140	6	0
mir-942	142	1	0
mir-153	125	0	0
mir-589	122	2	0
mir-1306	113	3	0
mir-556	114	0	0
mir-641	109	0	0
mir-3158	104	0	0
mir-877	93	8	0
mir-627	100	0	0
mir-1292	94	2	0
mir-1343	89	4	0
mir-561	83	0	0
mir-199	79	1	0
mir-618	71	0	0
mir-338	65	4	0
mir-1304	69	0	0
mir-577	66	1	0
mir-139	60	1	0
mir-4677	60	0	1
mir-1910	58	1	0
mir-2278	59	0	0
mir-605	53	1	0
mir-3130	52	0	0
mir-1295	52	0	0
mir-506	46	2	2
mir-142	50	0	0
mir-3074	48	0	0
mir-4429	41	3	0
mir-636	42	2	0
mir-1915	35	8	0
mir-1299	43	0	0
mir-619	40	3	0
mir-1305	41	0	0
mir-3173	39	1	0
mir-1297	40	0	0
mir-3064	38	1	0
mir-3127	39	0	0
mir-1909	34	2	0
mir-147	35	0	0
mir-766	32	1	0
mir-2355	33	0	0
mir-3940	33	0	0
mir-6511	28	4	0
mir-3065	32	0	0
mir-4421	30	1	0
mir-1914	27	4	0
mir-1262	28	1	0
mir-663	29	0	0
mir-4523	28	0	0
mir-216	26	0	0
mir-1537	25	0	0
mir-515	22	3	0
mir-135	24	0	0
mir-5583	23	0	0
mir-1287	23	0	0
mir-1276	23	0	0
mir-933	23	0	0
mir-1972	21	2	0
mir-4423	23	0	0
mir-204	22	1	0
mir-1247	20	2	0
mir-1227	18	4	0
mir-4742	21	0	0
mir-1250	21	0	0
mir-3126	20	0	0
mir-676	20	0	0
mir-3136	19	0	1
mir-105	20	0	0
mir-3174	19	0	0
mir-1256	19	0	0
mir-1278	19	0	0
mir-3150	17	0	0
mir-2114	17	0	0
mir-1255	17	0	0
mir-133	17	0	0
mir-643	17	0	0
mir-4680	16	1	0
mir-297	16	1	0
mir-198	14	2	0
mir-1284	14	1	0
mir-3179	14	1	0
mir-3180	13	2	0
mir-154	12	3	0
mir-499	14	0	0
mir-642	14	0	0
mir-4657	13	1	0
mir-3661	13	0	0
mir-1244	10	3	0
mir-592	13	0	0
mir-4446	13	0	0
mir-665	12	1	0
mir-197	13	0	0
mir-483	11	2	0
mir-616	13	0	0
mir-939	12	0	0
mir-891	12	0	0
mir-3605	12	0	0
mir-1	11	0	0
mir-767	11	0	0
mir-4766	11	0	0
mir-632	11	0	0
mir-675	11	0	0
mir-653	11	0	0
mir-651	10	0	0
mir-224	10	0	0
mir-4444	10	0	0
mir-887	9	1	0
mir-214	10	0	0
mir-3943	10	0	0
mir-1233	10	0	0
mir-1236	6	4	0
mir-3188	7	2	0
mir-743	9	0	0
mir-1286	9	0	0
mir-3192	9	0	0
mir-3149	8	0	0
mir-639	7	1	0
mir-943	8	0	0
mir-3138	8	0	0
mir-4449	7	1	0
mir-580	7	1	0
mir-3912	8	0	0
mir-1468	8	0	0
mir-3934	8	0	0
mir-1252	7	1	0
mir-3648	7	1	0
mir-4716	8	0	0
mir-1182	7	0	0
mir-145	7	0	0
mir-1243	7	0	0
mir-647	7	0	0
mir-6505	6	1	0
mir-1538	7	0	0
mir-451	7	0	0
mir-6827	7	0	0
mir-1288	7	0	0
mir-1293	6	0	0
mir-4659	6	0	0
mir-588	6	0	0
mir-649	6	0	0
mir-602	6	0	0
mir-631	5	1	0
mir-203	5	1	0
mir-3145	6	0	0
mir-3160	6	0	0
mir-5681	6	0	0
mir-144	6	0	0
mir-489	6	0	0
mir-6859	6	0	0
mir-3116	4	1	0
mir-3140	5	0	0
mir-4738	5	0	0
mir-4436	5	0	0
mir-302	4	1	0
mir-3190	5	0	0
mir-493	5	0	0
mir-3680	5	0	0
mir-3202	5	0	0
mir-4667	5	0	0
mir-3618	4	0	0
mir-3155	4	0	0
mir-1225	3	1	0
mir-630	4	0	0
mir-4484	4	0	0
mir-1322	4	0	0
mir-572	4	0	0
mir-3198	4	0	0
mir-4526	4	0	0
mir-1273c	4	0	0
mir-143	4	0	0
mir-6862	4	0	0
mir-1238	3	1	0
mir-1202	4	0	0
mir-937	4	0	0
mir-610	3	1	0
mir-1294	4	0	0
mir-593	4	0	0
mir-1266	3	1	0
mir-4660	3	1	0
mir-5697	4	0	0
mir-1290	1	2	0
mir-612	2	0	1
mir-3664	3	0	0
mir-23c	3	0	0
mir-3622	3	0	0
mir-876	3	0	0
mir-298	3	0	0
mir-490	3	0	0
mir-1272	3	0	0
mir-3199	3	0	0
mir-922	3	0	0
mir-6770	3	0	0
mir-146	2	1	0
mir-584	3	0	0
mir-150	3	0	0
mir-621	2	1	0
mir-1289	2	1	0
mir-4504	3	0	0
mir-1204	3	0	0
mir-4315	3	0	0
mir-223	2	1	0
mir-4672	3	0	0
mir-504	2	1	0
mir-3926	2	0	0
mir-4703	2	0	0
mir-1976	2	0	0
mir-202	2	0	0
mir-3122	2	0	0
mir-4654	1	1	0
mir-623	2	0	0
mir-1207	2	0	0
mir-1203	1	1	0
mir-3688	2	0	0
mir-564	2	0	0
mir-3617	1	1	0
mir-544	2	0	0
mir-134	2	0	0
mir-137	1	1	0
mir-452	2	0	0
mir-6132	2	0	0
mir-122	2	0	0
mir-3670	1	1	0
mir-873	2	0	0
mir-4637	2	0	0
mir-711	2	0	0
mir-920	2	0	0
mir-562	2	0	0
mir-1258	2	0	0
mir-363	1	1	0
mir-1179	2	0	0
mir-4776	2	0	0
mir-626	2	0	0
mir-657	2	0	0
mir-3135	2	0	0
mir-3913	2	0	0
mir-3132	2	0	0
mir-488	2	0	0
mir-217	2	0	0
mir-4798	1	1	0
mir-3938	2	0	0
mir-1253	1	0	0
mir-3613	1	0	0
mir-4743	1	0	0
mir-761	1	0	0
mir-875	1	0	0
mir-614	0	1	0
mir-601	1	0	0
mir-379	0	1	0
mir-1178	1	0	0
mir-718	1	0	0
mir-378_2	1	0	0
mir-924	1	0	0
mir-4782	1	0	0
mir-569	1	0	0
mir-5692	1	0	0
mir-591	1	0	0
mir-1183	1	0	0
mir-4477	1	0	0
mir-3167	1	0	0
mir-4650	1	0	0
mir-567	1	0	0
mir-646	1	0	0
mir-3156	1	0	0
mir-3660	1	0	0
mir-581	1	0	0
mir-7973	1	0	0
mir-555	1	0	0
mir-1323	1	0	0
mir-3165	1	0	0
mir-1267	1	0	0
mir-1911	0	1	0
