miRNA_fam	Total_Count	Total_Percentage	Manakov2022.tsv_Count	Manakov2022.tsv_Percentage	Hejret2023.tsv_Count	Hejret2023.tsv_Percentage	Klimentova2022.tsv_Count	Klimentova2022.tsv_Percentage
mir-17	401010	27.845402845576437	400439	27.969457309871267	401	5.562491330281592	170	13.934426229508196
mir-19	153959	10.690632095713582	153888	10.748613013471388	44	0.610348175891247	27	2.2131147540983607
mir-25	114319	7.938102810162971	113770	7.9464916208063	497	6.894160077680676	52	4.2622950819672125
mir-15	112595	7.818391395221265	112358	7.847867676281569	213	2.9546400332917186	24	1.9672131147540985
mir-221	51013	3.542249658016985	50867	3.552906647407524	119	1.650714384796782	27	2.2131147540983607
mir-30	47063	3.267968863922007	46950	3.279316002433469	102	1.4148980441115273	11	0.9016393442622952
let-7	35362	2.455472769819391	34849	2.4340976223387427	501	6.949646275488972	12	0.9836065573770493
mir-26	30430	2.1130036871671307	30387	2.1224403698817	36	0.4993757802746567	7	0.5737704918032787
mir-196	26398	1.8330289626630931	26291	1.8363471143765353	76	1.0542377583576086	31	2.540983606557377
mir-103	22665	1.573816252699409	22564	1.5760273967818699	92	1.2761825495907893	9	0.7377049180327869
mir-320	21621	1.5013227972474708	21243	1.483759528002006	365	5.063115550006936	13	1.0655737704918031
mir-423	20040	1.3915410414337595	19737	1.3785699667737885	295	4.09210708836177	8	0.6557377049180327
mir-181	16321	1.133300465930159	16277	1.1368993944964765	36	0.4993757802746567	8	0.6557377049180327
mir-218	16249	1.1283009172783012	16227	1.1334070451861107	13	0.18033014287695937	9	0.7377049180327869
mir-10	14469	1.0047009644962608	14179	0.9903604174335284	286	3.967263143293106	4	0.32786885245901637
mir-374	14249	0.9894245658378064	14230	0.9939226137301015	16	0.22194479123318075	3	0.24590163934426232
mir-322	13033	0.9049877441619854	13021	0.9094776074054569	11	0.15258704397281175	1	0.08196721311475409
mir-34	12634	0.8772819120496066	12618	0.8813292719639086	15	0.20807324178110698	1	0.08196721311475409
mir-378	12563	0.872351801573469	12539	0.8758113600535307	19	0.26355943958940214	5	0.4098360655737705
mir-148	12172	0.8452014748668524	12141	0.8480122595430191	29	0.40227493411014015	2	0.16393442622950818
mir-130	11825	0.8211064278919264	11795	0.8238452023152879	28	0.3884033846580663	2	0.16393442622950818
mir-29	11799	0.8193010353232	11751	0.820771934922166	45	0.6242197253433208	3	0.24590163934426232
mir-27	11074	0.7689583579260205	11054	0.7720885855356671	20	0.27743098904147595	0	0.0
mir-484	9854	0.6842437835473186	9569	0.6683658110178032	280	3.884033846580663	5	0.4098360655737705
mir-193	9698	0.67341142813496	9596	0.6702516796454008	100	1.3871549452073797	2	0.16393442622950818
mir-31	9297	0.6455667196711408	9269	0.6474117151556086	28	0.3884033846580663	0	0.0
mir-23	9169	0.6366786331789491	9143	0.6386109948934868	24	0.3329171868497711	2	0.16393442622950818
mir-324	8856	0.6149444841785117	8706	0.6080878619208899	147	2.039117769454848	3	0.24590163934426232
mir-28	8547	0.5934880878809552	8491	0.5930707598863171	52	0.7213205715078375	4	0.32786885245901637
mir-32	8236	0.5718928152319582	8228	0.5747010025137931	5	0.06935774726036899	3	0.24590163934426232
mir-339	7956	0.552450126030289	7910	0.5524896608998666	45	0.6242197253433208	1	0.08196721311475409
mir-191	7566	0.5253692374993923	7553	0.527554286823855	9	0.12484394506866417	4	0.32786885245901637
mir-101	7395	0.5134953094512301	7385	0.5158199931410259	9	0.12484394506866417	1	0.08196721311475409
mir-24	6337	0.4400297195392083	6333	0.4423409636509299	4	0.05548619780829519	0	0.0
mir-33	6066	0.4212119739190212	6050	0.4225742665542596	16	0.22194479123318075	0	0.0
mir-744	5552	0.385520751598814	5272	0.368233311284968	278	3.8562907476765154	2	0.16393442622950818
mir-1307	5525	0.38364592085436733	5496	0.38387903619540675	28	0.3884033846580663	1	0.08196721311475409
mir-503	5392	0.3744106434835744	5381	0.37584663278156544	8	0.11097239561659038	3	0.24590163934426232
