noncodingRNA_fam	Total_Count	Total_Percentage	Manakov22.tsv_Count	Manakov22.tsv_Percentage	Hejret23.tsv_Count	Hejret23.tsv_Percentage	Klimentova22.tsv_Count	Klimentova22.tsv_Percentage
mir-17	400869	27.901193322405852	400436	27.96948219899713	297	6.486132343306399	136	28.511530398322847
mir-19	153940	10.714497005383697	153886	10.748563410070204	33	0.7206813714784888	21	4.40251572327044
mir-25	114145	7.944694430814097	113770	7.946558225983437	334	7.294169032539856	41	8.59538784067086
mir-15	112536	7.832705177327918	112358	7.847933454821543	158	3.450535051321249	20	4.1928721174004195
mir-221	50983	3.5485072159638626	50865	3.552796731692428	94	2.0528499672417557	24	5.031446540880504
mir-30	47034	3.273649812597225	46950	3.2793434887046002	74	1.6160733784669141	10	2.0964360587002098
let-7	35265	2.45450654082666	34849	2.4341180242357106	407	8.888403581568028	9	1.8867924528301887
mir-26	30422	2.117425151992873	30387	2.122458159558396	29	0.6333260537235205	6	1.257861635220126
mir-196	26369	1.8353291641871037	26291	1.8363625061029314	60	1.310329766324525	18	3.7735849056603774
mir-103	22640	1.575784150980167	22564	1.5760406065842514	69	1.5068792312732038	7	1.4675052410901468
mir-320	21545	1.4995702090489265	21243	1.4837719644419982	291	6.355099366673947	11	2.3060796645702304
mir-423	19982	1.3907826371415943	19737	1.378581521545531	237	5.175802576981874	8	1.6771488469601679
mir-181	16307	1.13499611970113	16277	1.1369089236559058	25	0.5459707359685522	5	1.0482180293501049
mir-218	16247	1.1308200132939388	16227	1.1334165450736857	11	0.24022712382616293	9	1.8867924528301887
mir-10	14396	1.0019871306320884	14179	0.9903687183459537	214	4.673509499890806	3	0.628930817610063
mir-374	14244	0.991407661067204	14230	0.9939309444998181	12	0.262065953264905	2	0.41928721174004197
mir-322	13026	0.9066327010012216	13020	0.9094153828100936	5	0.10919414719371041	1	0.20964360587002098
mir-34	12629	0.879000796940306	12618	0.8813366590090445	10	0.21838829438742083	1	0.20964360587002098
mir-378	12559	0.8741286727985829	12539	0.8758187008491369	16	0.3494212710198733	4	0.8385744234800839
mir-148	12166	0.8467751758314802	12141	0.8480193673346655	23	0.502293077091068	2	0.41928721174004197
mir-130	11815	0.8223449533494114	11795	0.823852107545703	18	0.3930989298973575	2	0.41928721174004197
mir-29	11784	0.8201872983723626	11751	0.8207788143933494	31	0.6770037126010046	2	0.41928721174004197
mir-27	11070	0.7704916321267865	11054	0.7720950569572023	16	0.3494212710198733	0	0.0
mir-484	9798	0.681958176294332	9569	0.6683714130652676	227	4.957414282594453	2	0.41928721174004197
mir-193	9678	0.6736059634799495	9595	0.670187449928022	81	1.7689451845381086	2	0.41928721174004197
mir-31	9293	0.6468092807004723	9269	0.6474171415719475	24	0.52413190652981	0	0.0
mir-23	9161	0.6376218466046515	9143	0.638616347544753	17	0.3712601004586154	1	0.20964360587002098
mir-324	8831	0.6146532613650996	8706	0.6080929587361501	122	2.6643371915265344	3	0.628930817610063
mir-28	8543	0.5946079506105815	8491	0.593075730832604	49	1.070102642498362	3	0.628930817610063
mir-32	8233	0.5730314008400934	8228	0.5747058194901267	3	0.06551648831622625	2	0.41928721174004197
unknown	8025	0.5585542319618304	7789	0.5440427355382349	184	4.018344616728544	52	10.90146750524109
mir-339	7936	0.5523596741244967	7910	0.5524942917072073	26	0.5678095654072942	0	0.0
mir-191	7563	0.5263982126264577	7553	0.5275587086301564	6	0.1310329766324525	4	0.8385744234800839
mir-101	7393	0.5145659111394159	7385	0.5158243165938972	7	0.15287180607119458	1	0.20964360587002098
mir-24	6336	0.44099683659939654	6333	0.4423446712239879	3	0.06551648831622625	0	0.0
mir-33	6059	0.4217171453528636	6050	0.4225778084486226	9	0.19654946494867875	0	0.0
mir-1307	5516	0.38392338236778273	5496	0.38388225375762475	19	0.4149377593360996	1	0.20964360587002098
mir-744	5514	0.38378417882087634	5272	0.3682363977092791	240	5.2413190652981	2	0.41928721174004197
mir-503	5389	0.37508395713922793	5381	0.3758497830185187	6	0.1310329766324525	2	0.41928721174004197
mir-128	5278	0.3673581602859241	5266	0.3678173122794126	11	0.24022712382616293	1	0.20964360587002098
mir-425	5136	0.35747470845557144	5129	0.35824819496412974	6	0.1310329766324525	1	0.20964360587002098
mir-185	4737	0.32970360084774963	4713	0.3291916051600592	22	0.48045424765232586	2	0.41928721174004197
mir-186	4500	0.3132079805393441	4487	0.3134060539684247	12	0.262065953264905	1	0.20964360587002098
mir-454	4452	0.30986709541359114	4443	0.3103327608160711	7	0.15287180607119458	2	0.41928721174004197
mir-9	3968	0.27617983706224836	3964	0.2768757739984033	4	0.08735531775496833	0	0.0
mir-455	3957	0.27541421755426326	3946	0.2756185177088041	11	0.24022712382616293	0	0.0
mir-1296	3448	0.2399869148665908	3428	0.23943747559700465	19	0.4149377593360996	1	0.20964360587002098
mir-210	3395	0.23629802087357185	3390	0.23678326787451745	3	0.06551648831622625	2	0.41928721174004197
mir-340	3252	0.22634496726976605	3250	0.22700460784430138	1	0.02183882943874208	1	0.20964360587002098
mir-365	3247	0.2259969584025001	3237	0.22609658941292418	10	0.21838829438742083	0	0.0
mir-140	3150	0.2192455863775409	3146	0.21974046039328374	3	0.06551648831622625	1	0.20964360587002098
mir-500	3059	0.21291182499330086	3047	0.21282555080048812	12	0.262065953264905	0	0.0
mir-1271	2864	0.19933947916992925	2862	0.19990375004627403	2	0.04367765887748416	0	0.0
mir-188	2757	0.19189208941043817	2746	0.19180143173552355	10	0.21838829438742083	1	0.20964360587002098
mir-331	2710	0.18862080605813836	2611	0.1823720095635295	99	2.1620441144354663	0	0.0
mir-361	2682	0.18667195640144912	2667	0.18628347357561595	15	0.32758244158113126	0	0.0
mir-182	2628	0.18291346063497696	2625	0.1833498755665511	3	0.06551648831622625	0	0.0
mir-96	2475	0.17226438929663926	2469	0.17245365439002464	5	0.10919414719371041	1	0.20964360587002098
mir-652	2474	0.1721947875231861	2464	0.17210441653180267	10	0.21838829438742083	0	0.0
mir-21	2437	0.16961952190541815	2436	0.17014868452575943	1	0.02183882943874208	0	0.0
mir-22	2407	0.16753146870182253	2407	0.1681231049480718	0	0.0	0	0.0
mir-7	2353	0.1637729729353504	2317	0.16183682350007578	18	0.3930989298973575	18	3.7735849056603774
mir-615	2172	0.15117505194032343	2019	0.14102224715004447	152	3.319502074688797	1	0.20964360587002098
mir-1180	2029	0.1412219983365176	2007	0.14018407629031165	20	0.43677658877484166	2	0.41928721174004197
mir-708	1937	0.13481863517882436	1931	0.1348756608453372	5	0.10919414719371041	1	0.20964360587002098
mir-95	1836	0.1277888560600524	1826	0.12754166582267518	10	0.21838829438742083	0	0.0
mir-183	1778	0.12375195319976753	1774	0.12390959209716634	3	0.06551648831622625	1	0.20964360587002098
mir-296	1773	0.1234039443325016	1695	0.11839163393725873	78	1.7034286962218825	0	0.0
