miRNA_fam	Manakov2022_6mer_count	Manakov2022_7mer_count	Manakov2022_8mer_count	Manakov2022_noncanonical_count	Hejret2023_6mer_count	Hejret2023_7mer_count	Hejret2023_8mer_count	Hejret2023_noncanonical_count	Klimentova2022_6mer_count	Klimentova2022_7mer_count	Klimentova2022_8mer_count	Klimentova2022_noncanonical_count	Manakov2022_6mer_percent	Manakov2022_7mer_percent	Manakov2022_8mer_percent	Manakov2022_noncanonical_percent	Hejret2023_6mer_percent	Hejret2023_7mer_percent	Hejret2023_8mer_percent	Hejret2023_noncanonical_percent	Klimentova2022_6mer_percent	Klimentova2022_7mer_percent	Klimentova2022_8mer_percent	Klimentova2022_noncanonical_percent
mir-17	69523	104538	21740	204635	51	53	10	183	23	43	12	58	3.11	4.68	0.97	9.16	0.66	0.68	0.13	2.35	3.06	5.73	1.6	7.72
mir-19	22979	30616	9099	91192	6	7	1	19	1	5	1	14	1.03	1.37	0.41	4.08	0.08	0.09	0.01	0.24	0.13	0.67	0.13	1.86
mir-25	15071	20558	4144	73997	26	16	5	287	3	14	4	20	0.67	0.92	0.19	3.31	0.33	0.21	0.06	3.69	0.4	1.86	0.53	2.66
mir-15	20349	34731	9237	48041	31	35	11	81	3	7	1	9	0.91	1.56	0.41	2.15	0.4	0.45	0.14	1.04	0.4	0.93	0.13	1.2
mir-221	7846	6143	1298	35578	9	9	3	73	0	8	0	16	0.35	0.28	0.06	1.59	0.12	0.12	0.04	0.94	0.0	1.07	0.0	2.13
mir-30	7186	11505	2873	25386	4	15	1	54	0	2	0	8	0.32	0.52	0.13	1.14	0.05	0.19	0.01	0.69	0.0	0.27	0.0	1.07
let-7	5243	10264	2938	16404	51	61	19	279	1	1	0	7	0.23	0.46	0.13	0.73	0.66	0.78	0.24	3.59	0.13	0.13	0.0	0.93
mir-26	6173	5656	906	17652	4	7	0	18	1	2	1	2	0.28	0.25	0.04	0.79	0.05	0.09	0.0	0.23	0.13	0.27	0.13	0.27
mir-196	4191	4198	814	17088	7	6	1	46	4	4	0	10	0.19	0.19	0.04	0.77	0.09	0.08	0.01	0.59	0.53	0.53	0.0	1.33
mir-103	4785	4741	1237	11801	14	19	10	26	1	1	1	4	0.21	0.21	0.06	0.53	0.18	0.24	0.13	0.33	0.13	0.13	0.13	0.53
mir-320	3603	3002	654	13984	18	14	3	256	3	1	0	7	0.16	0.13	0.03	0.63	0.23	0.18	0.04	3.29	0.4	0.13	0.0	0.93
