Plotted seed percentages:
 seed_type          Seed6mer   Seed7mer  Seed8mer  SeedNonCanonical  TotalCanonicalSeed
noncodingRNA_fam                                                                      
mir-17            17.361586  26.101751  5.428551         32.207842           48.891888
mir-19            14.932277  19.896710  5.912236         38.225875           40.741222
mir-25            13.229252  18.037340  3.636730         36.968311           34.903321
mir-15            18.113392  30.898427  8.219142         23.997156           57.230961
mir-221           15.407399  12.082696  2.551881         37.254325           30.041976
mir-30            15.287464  24.498214  6.110733         34.940041           45.896411
let-7             15.014887  29.281157  8.382249         29.173401           52.678293
mir-26            20.308340  18.618717  2.981493         37.096085           41.908550
mir-196           15.935983  15.958738  3.090868         38.960103           34.985589
mir-103           21.197933  21.030081  5.512611         30.284023           47.740625
