Dataset	Canonical_Seed_Percentage	miRNA_Family_Count
Hejret23	62.5	1
Hejret23	57.5	2
Hejret23	52.5	2
Hejret23	47.5	5
Hejret23	42.5	9
Hejret23	37.5	9
Hejret23	32.5	6
Hejret23	27.5	11
Hejret23	22.5	7
Hejret23	17.5	5
Hejret23	12.5	3
Hejret23	2.5	1
Klimentova22	97.5	1
Klimentova22	92.5	1
Klimentova22	67.5	2
Klimentova22	57.5	3
Klimentova22	52.5	11
Klimentova22	42.5	2
Klimentova22	37.5	1
Klimentova22	32.5	3
Klimentova22	27.5	1
Klimentova22	22.5	3
Klimentova22	7.5	1
Klimentova22	2.5	10
Manakov22	67.5	1
Manakov22	62.5	4
Manakov22	57.5	7
Manakov22	52.5	21
Manakov22	47.5	22
Manakov22	42.5	25
Manakov22	37.5	16
Manakov22	32.5	19
Manakov22	27.5	10
Manakov22	22.5	6
Manakov22	7.5	1
