noncodingRNA_fam	mean_total_interactions	std_total_interactions	median_total_interactions	min_total_interactions	max_total_interactions	q1_total_interactions	q3_total_interactions	iqr_total_interactions	variance_total_interactions	mean_perfect_matches	std_perfect_matches	median_perfect_matches	min_perfect_matches	max_perfect_matches	q1_perfect_matches	q3_perfect_matches	iqr_perfect_matches	variance_perfect_matches	mean_percentage	std_percentage	median_percentage	min_percentage	max_percentage	q1_percentage	q3_percentage	iqr_percentage	variance_percentage
0	20.0		20.0	20	20	20.0	20.0	0.0		4.0		4.0	4	4	4.0	4.0	0.0		20.0		20.0	20.0	20.0	20.0	20.0	0.0	
let-7	68.0		68.0	68	68	68.0	68.0	0.0		34.0		34.0	34	34	34.0	34.0	0.0		50.0		50.0	50.0	50.0	50.0	50.0	0.0	
mir-10	51.0		51.0	51	51	51.0	51.0	0.0		15.0		15.0	15	15	15.0	15.0	0.0		29.411764705882355		29.411764705882355	29.411764705882355	29.411764705882355	29.411764705882355	29.411764705882355	0.0	
mir-101	24.0		24.0	24	24	24.0	24.0	0.0		6.0		6.0	6	6	6.0	6.0	0.0		25.0		25.0	25.0	25.0	25.0	25.0	0.0	
mir-103	59.0		59.0	59	59	59.0	59.0	0.0		23.0		23.0	23	23	23.0	23.0	0.0		38.983050847457626		38.983050847457626	38.983050847457626	38.983050847457626	38.983050847457626	38.983050847457626	0.0	
mir-1180	7.0		7.0	7	7	7.0	7.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		14.285714285714285		14.285714285714285	14.285714285714285	14.285714285714285	14.285714285714285	14.285714285714285	0.0	
mir-1182	1.0		1.0	1	1	1.0	1.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-1226	1.0		1.0	1	1	1.0	1.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		100.0		100.0	100.0	100.0	100.0	100.0	0.0	
mir-124	3.0		3.0	3	3	3.0	3.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		33.33333333333333		33.33333333333333	33.33333333333333	33.33333333333333	33.33333333333333	33.33333333333333	0.0	
mir-1246	3.0		3.0	3	3	3.0	3.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-126	4.0		4.0	4	4	4.0	4.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-1271	7.0		7.0	7	7	7.0	7.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		14.285714285714285		14.285714285714285	14.285714285714285	14.285714285714285	14.285714285714285	14.285714285714285	0.0	
mir-1272	1.0		1.0	1	1	1.0	1.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-1277	1.0		1.0	1	1	1.0	1.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-128	17.0		17.0	17	17	17.0	17.0	0.0		7.0		7.0	7	7	7.0	7.0	0.0		41.17647058823529		41.17647058823529	41.17647058823529	41.17647058823529	41.17647058823529	41.17647058823529	0.0	
mir-1296	5.0		5.0	5	5	5.0	5.0	0.0		0.0		0.0	0	0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	
mir-130	31.0		31.0	31	31	31.0	31.0	0.0		9.0		9.0	9	9	9.0	9.0	0.0		29.03225806451613		29.03225806451613	29.03225806451613	29.03225806451613	29.03225806451613	29.03225806451613	0.0	
mir-1301	3.0		3.0	3	3	3.0	3.0	0.0		2.0		2.0	2	2	2.0	2.0	0.0		66.66666666666666		66.66666666666666	66.66666666666666	66.66666666666666	66.66666666666666	66.66666666666666	0.0	
mir-1307	17.0		17.0	17	17	17.0	17.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		5.88235294117647		5.88235294117647	5.88235294117647	5.88235294117647	5.88235294117647	5.88235294117647	0.0	
mir-132	3.0		3.0	3	3	3.0	3.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		33.33333333333333		33.33333333333333	33.33333333333333	33.33333333333333	33.33333333333333	33.33333333333333	0.0	
mir-138	2.0		2.0	2	2	2.0	2.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		50.0		50.0	50.0	50.0	50.0	50.0	0.0	
mir-140	9.0		9.0	9	9	9.0	9.0	0.0		1.0		1.0	1	1	1.0	1.0	0.0		11.11111111111111		11.11111111111111	11.11111111111111	11.11111111111111	11.11111111111111	11.11111111111111	0.0	
mir-148	33.0		33.0	33	33	33.0	33.0	0.0		8.0		8.0	8	8	8.0	8.0	0.0		24.242424242424242		24.242424242424242	24.242424242424242	24.242424242424242	24.242424242424242	24.242424242424242	0.0	
mir-149	3.0		3.0	3	3	3.0	3.0	0.0		2.0		2.0	2	2	2.0	2.0	0.0		66.66666666666666		66.66666666666666	66.66666666666666	66.66666666666666	66.66666666666666	66.66666666666666	0.0	
mir-15	368.0		368.0	368	368	368.0	368.0	0.0		213.0		213.0	213	213	213.0	213.0	0.0		57.88043478260869		57.88043478260869	57.88043478260869	57.88043478260869	57.88043478260869	57.88043478260869	0.0	
mir-17	1319.0		1319.0	1319	1319	1319.0	1319.0	0.0		627.0		627.0	627	627	627.0	627.0	0.0		47.536012130401815		47.536012130401815	47.536012130401815	47.536012130401815	47.536012130401815	47.536012130401815	0.0	
mir-181	48.0		48.0	48	48	48.0	48.0	0.0		17.0		17.0	17	17	17.0	17.0	0.0		35.41666666666667		35.41666666666667	35.41666666666667	35.41666666666667	35.41666666666667	35.41666666666667	0.0	
