noncodingRNA_fam	total_interactions	perfect_matches	percentage
0	20	4	20.0
let-7	68	34	50.0
mir-10	51	15	29.411764705882355
mir-101	24	6	25.0
mir-103	59	23	38.983050847457626
mir-1180	7	1	14.285714285714285
mir-1182	1	0	0.0
mir-1226	1	1	100.0
mir-124	3	1	33.33333333333333
mir-1246	3	0	0.0
mir-126	4	0	0.0
mir-1271	7	1	14.285714285714285
mir-1272	1	0	0.0
mir-1277	1	0	0.0
mir-128	17	7	41.17647058823529
mir-1296	5	0	0.0
mir-130	31	9	29.03225806451613
mir-1301	3	2	66.66666666666666
mir-1307	17	1	5.88235294117647
mir-132	3	1	33.33333333333333
mir-138	2	1	50.0
mir-140	9	1	11.11111111111111
mir-148	33	8	24.242424242424242
mir-149	3	2	66.66666666666666
mir-15	368	213	57.88043478260869
mir-17	1319	627	47.536012130401815
mir-181	48	17	35.41666666666667
mir-182	3	0	0.0
mir-183	6	2	33.33333333333333
mir-185	15	7	46.666666666666664
mir-186	6	1	16.666666666666664
mir-188	6	2	33.33333333333333
mir-19	494	208	42.10526315789473
mir-191	28	12	42.857142857142854
mir-192	1	1	100.0
mir-193	29	12	41.37931034482759
mir-194	5	2	40.0
mir-196	72	25	34.72222222222222
mir-21	6	1	16.666666666666664
mir-210	8	3	37.5
mir-218	22	9	40.909090909090914
mir-22	2	1	50.0
mir-221	144	47	32.63888888888889
mir-23	23	8	34.78260869565217
mir-24	15	2	13.333333333333334
mir-25	385	123	31.948051948051948
mir-26	57	23	40.35087719298245
mir-27	26	14	53.84615384615385
mir-28	19	5	26.31578947368421
mir-29	19	7	36.84210526315789
mir-296	1	1	100.0
mir-30	128	54	42.1875
mir-31	37	20	54.054054054054056
mir-32	11	4	36.36363636363637
mir-320	76	18	23.684210526315788
mir-322	36	20	55.55555555555556
mir-324	23	6	26.08695652173913
mir-328	2	0	0.0
mir-33	14	7	50.0
mir-330	1	0	0.0
mir-331	4	2	50.0
mir-339	21	6	28.57142857142857
mir-34	46	19	41.30434782608695
mir-340	4	2	50.0
mir-342	8	1	12.5
mir-345	1	0	0.0
mir-346	1	1	100.0
mir-361	4	3	75.0
mir-362	4	2	50.0
mir-365	5	3	60.0
mir-374	14	6	42.857142857142854
mir-375	1	0	0.0
mir-378	41	5	12.195121951219512
mir-3943	1	0	0.0
mir-423	70	18	25.71428571428571
mir-425	10	3	30.0
mir-4429	1	0	0.0
mir-450	3	1	33.33333333333333
mir-454	3	0	0.0
mir-455	10	2	20.0
mir-4766	1	1	100.0
mir-484	30	4	13.333333333333334
mir-486	2	0	0.0
mir-497	1	0	0.0
mir-500	2	1	50.0
mir-503	21	12	57.14285714285714
mir-505	3	1	33.33333333333333
mir-542	1	0	0.0
mir-548	1	1	100.0
mir-574	2	0	0.0
mir-576	1	1	100.0
mir-582	2	2	100.0
mir-590	2	0	0.0
mir-615	4	2	50.0
mir-625	5	0	0.0
mir-652	5	1	20.0
mir-671	6	1	16.666666666666664
mir-7	1	0	0.0
mir-708	7	3	42.857142857142854
mir-744	19	9	47.368421052631575
mir-769	1	0	0.0
mir-874	3	2	66.66666666666666
mir-877	1	0	0.0
mir-9	12	8	66.66666666666666
mir-95	4	2	50.0
mir-96	5	1	20.0
